time,station,tage_sommer,tage_tropen,so_h,rr,tl_mittel
1991-01-01T00:00+00:00,5925,58,10,1823.0,519.0,10.8
1992-01-01T00:00+00:00,5925,81,34,2062.0,492.0,12.3
1993-01-01T00:00+00:00,5925,74,22,1937.0,481.0,11.3
1994-01-01T00:00+00:00,5925,81,35,2059.0,529.0,12.7
1995-01-01T00:00+00:00,5925,68,21,1869.0,626.0,11.5
1996-01-01T00:00+00:00,5925,54,7,1795.0,596.0,10.0
1997-01-01T00:00+00:00,5925,70,4,2063.0,653.0,11.2
1998-01-01T00:00+00:00,5925,69,27,,,11.9
1999-01-01T00:00+00:00,5925,71,10,,,11.9
2000-01-01T00:00+00:00,5925,83,30,,,12.9
2001-01-01T00:00+00:00,5925,69,24,1887.0,538.0,11.7
2002-01-01T00:00+00:00,5925,90,22,1981.0,884.0,12.5
2003-01-01T00:00+00:00,5925,106,45,2329.0,423.0,12.1
2004-01-01T00:00+00:00,5925,61,15,1933.0,664.0,11.6
2005-01-01T00:00+00:00,5925,70,17,2126.0,639.0,11.4
2006-01-01T00:00+00:00,5925,67,34,2190.0,663.0,12.0
2007-01-01T00:00+00:00,5925,87,33,2193.0,857.0,12.9
2008-01-01T00:00+00:00,5925,87,23,2030.0,706.0,12.7
2009-01-01T00:00+00:00,5925,93,26,2024.0,849.0,12.4
2010-01-01T00:00+00:00,5925,68,26,1863.0,856.0,11.1
2011-01-01T00:00+00:00,5925,93,23,2265.0,543.0,12.3
2012-01-01T00:00+00:00,5925,99,41,2196.0,588.0,12.5
2013-01-01T00:00+00:00,5925,73,28,1958.0,763.0,12.0
2014-01-01T00:00+00:00,5925,67,22,1945.0,789.0,13.2
2015-01-01T00:00+00:00,5925,86,46,2143.0,602.0,13.2
2016-01-01T00:00+00:00,5925,89,25,2066.0,728.0,12.7
2017-01-01T00:00+00:00,5925,88,42,2155.0,563.0,12.7
2018-01-01T00:00+00:00,5925,118,43,2207.0,642.0,13.5
2019-01-01T00:00+00:00,5925,92,45,,673.0,13.6
2020-01-01T00:00+00:00,5925,84,28,2107.0,649.0,13.0
