;Gebietsname;Wahlberechtigte;Abgegebene;Ung�ltige;G�ltige;�VP;SP�;FP�;GR�NE;NEOS;BIER;MFG;BGE;LMP;GAZA;KP�;KEINE;
G00000;�sterreich;6346059;4929745;46857;4882888;1282734;1032234;1408514;402107;446378;98395;19785;156;28488;19376;116891;27830;
G10000;Burgenland;233738;192899;2800;190099;54287;51374;54718;8926;12300;3817;;156;858;344;2425;894;
G10099;Wahlkarten - Burgenland;0;41;41;0;0;0;0;0;0;0;;0;0;0;0;0;
G1A000;Burgenland Nord;124968;103415;1389;102026;28008;27565;28837;5280;7434;2212;;40;479;292;1366;513;
G1A099;Wahlkarten - Burgenland Nord;0;303;2;301;49;71;66;49;46;6;;0;0;1;9;4;
G1B000;Burgenland S�d;108770;89443;1370;88073;26279;23809;25881;3646;4866;1605;;116;379;52;1059;381;
G1B099;Wahlkarten - Burgenland S�d;0;293;3;290;44;72;74;47;28;8;;0;5;1;11;0;
G10100;Eisenstadt Stadt;11216;8903;82;8821;2885;1916;2001;742;784;214;;6;54;25;155;39;
G10101;Eisenstadt;11216;8722;82;8640;2842;1864;1980;724;755;208;;5;53;22;149;38;
G10199;Wahlkarten - Eisenstadt Stadt;0;181;0;181;43;52;21;18;29;6;;1;1;3;6;1;
G10200;Rust Stadt;1588;1300;30;1270;326;343;377;68;95;26;;1;12;0;17;5;
G10201;Rust;1588;1284;30;1254;325;339;370;68;91;26;;1;12;0;17;5;
G10299;Wahlkarten - Rust Stadt;0;16;0;16;1;4;7;0;4;0;;0;0;0;0;0;
G10300;Eisenstadt - Umgebung;34854;29282;411;28871;7871;8304;7789;1431;2081;630;;8;140;91;374;152;
G10301;Breitenbrunn am Neusiedler See;1571;1357;22;1335;354;345;329;94;135;42;;0;14;0;17;5;
G10302;Donnerskirchen;1525;1255;21;1234;396;276;377;71;70;22;;0;2;1;15;4;
G10303;Gro�h�flein;1659;1416;27;1389;426;410;330;44;128;26;;0;4;1;13;7;
G10304;Hornstein;2469;1903;23;1880;476;536;521;86;154;43;;1;15;4;31;13;
G10305;Klingenbach;853;704;17;687;171;275;171;21;24;8;;0;2;1;11;3;
G10306;Leithaprodersdorf;1012;886;8;878;405;149;187;40;66;21;;0;0;0;7;3;
G10307;M�rbisch am See;1811;1470;26;1444;366;479;402;63;80;32;;0;6;0;10;6;
G10308;M�llendorf;1188;968;12;956;264;256;256;44;82;14;;0;7;2;22;9;
G10309;Neufeld an der Leitha;2725;2197;23;2174;405;683;675;109;157;60;;2;12;24;33;14;
G10310;Oggau am Neusiedler See;1429;1277;34;1243;389;378;320;48;62;18;;0;6;2;12;8;
