LAND;RWK;BEZ;GKZ;NAME
0;;;G00000;Österreich
1;;;G10000;Burgenland
1;;;G10099;Wahlkarten - Burgenland
1;1A;;G1A000;Burgenland Nord
1;1A;;G1A099;Wahlkarten - Burgenland Nord
1;1B;;G1B000;Burgenland Süd
1;1B;;G1B099;Wahlkarten - Burgenland Süd
1;1A;101;G10100;Eisenstadt Stadt
1;1A;101;G10101;Eisenstadt
1;1A;101;G10199;Wahlkarten - Eisenstadt Stadt
1;1A;102;G10200;Rust Stadt
1;1A;102;G10201;Rust
1;1A;102;G10299;Wahlkarten - Rust Stadt
1;1A;103;G10300;Eisenstadt - Umgebung
1;1A;103;G10301;Breitenbrunn am Neusiedler See
1;1A;103;G10302;Donnerskirchen
1;1A;103;G10303;Großhöflein
1;1A;103;G10304;Hornstein
1;1A;103;G10305;Klingenbach
1;1A;103;G10306;Leithaprodersdorf
1;1A;103;G10307;Mörbisch am See
1;1A;103;G10308;Müllendorf
1;1A;103;G10309;Neufeld an der Leitha
1;1A;103;G10310;Oggau am Neusiedler See
1;1A;103;G10311;Oslip
1;1A;103;G10312;Purbach am Neusiedler See
1;1A;103;G10313;Sankt Margarethen im Burgenland
1;1A;103;G10314;Schützen am Gebirge
1;1A;103;G10315;Siegendorf
1;1A;103;G10316;Steinbrunn
1;1A;103;G10317;Trausdorf an der Wulka
1;1A;103;G10318;Wimpassing an der Leitha
1;1A;103;G10319;Wulkaprodersdorf
1;1A;103;G10320;Loretto
1;1A;103;G10321;Stotzing
1;1A;103;G10322;Zillingtal
1;1A;103;G10323;Zagersdorf
1;1A;103;G10399;Wahlkarten - Eisenstadt - Umgebung
1;1B;104;G10400;Güssing
1;1B;104;G10401;Bocksdorf
1;1B;104;G10402;Burgauberg-Neudauberg
1;1B;104;G10403;Eberau
1;1B;104;G10404;Gerersdorf-Sulz
1;1B;104;G10405;Güssing
1;1B;104;G10406;Güttenbach
1;1B;104;G10407;Heiligenbrunn
1;1B;104;G10408;Kukmirn
1;1B;104;G10409;Neuberg im Burgenland
1;1B;104;G10410;Neustift bei Güssing
1;1B;104;G10411;Olbendorf
1;1B;104;G10412;Ollersdorf im Burgenland
1;1B;104;G10413;Sankt Michael im Burgenland
1;1B;104;G10414;Stegersbach
1;1B;104;G10415;Stinatz
1;1B;104;G10416;Strem
1;1B;104;G10417;Tobaj
1;1B;104;G10418;Hackerberg
1;1B;104;G10419;Wörterberg
1;1B;104;G10420;Großmürbisch
1;1B;104;G10421;Inzenhof
1;1B;104;G10422;Kleinmürbisch
1;1B;104;G10423;Tschanigraben
1;1B;104;G10424;Heugraben
1;1B;104;G10425;Rohr im Burgenland
1;1B;104;G10426;Bildein
1;1B;104;G10427;Rauchwart
1;1B;104;G10428;Moschendorf
1;1B;104;G10499;Wahlkarten - Güssing
1;1B;105;G10500;Jennersdorf
1;1B;105;G10501;Deutsch Kaltenbrunn
1;1B;105;G10502;Eltendorf
1;1B;105;G10503;Heiligenkreuz im Lafnitztal
1;1B;105;G10504;Jennersdorf
1;1B;105;G10505;Minihof-Liebau
1;1B;105;G10506;Mogersdorf
1;1B;105;G10507;Neuhaus am Klausenbach
1;1B;105;G10508;Rudersdorf
1;1B;105;G10509;Sankt Martin an der Raab
1;1B;105;G10510;Weichselbaum
1;1B;105;G10511;Königsdorf
1;1B;105;G10512;Mühlgraben
1;1B;105;G10599;Wahlkarten - Jennersdorf
1;1A;106;G10600;Mattersburg
1;1A;106;G10601;Draßburg
1;1A;106;G10602;Forchtenstein
1;1A;106;G10603;Hirm
1;1A;106;G10604;Loipersbach im Burgenland
1;1A;106;G10605;Marz
1;1A;106;G10606;Mattersburg
1;1A;106;G10607;Neudörfl
1;1A;106;G10608;Pöttelsdorf
1;1A;106;G10609;Pöttsching
1;1A;106;G10610;Rohrbach bei Mattersburg
1;1A;106;G10611;Bad Sauerbrunn
1;1A;106;G10612;Schattendorf
1;1A;106;G10613;Sieggraben
1;1A;106;G10614;Sigleß
1;1A;106;G10615;Wiesen
1;1A;106;G10616;Antau
1;1A;106;G10617;Baumgarten
1;1A;106;G10618;Zemendorf-Stöttera
1;1A;106;G10619;Krensdorf
1;1A;106;G10699;Wahlkarten - Mattersburg
1;1A;107;G10700;Neusiedl am See
1;1A;107;G10701;Andau
1;1A;107;G10702;Apetlon
1;1A;107;G10703;Bruckneudorf
1;1A;107;G10704;Deutsch Jahrndorf
1;1A;107;G10705;Frauenkirchen
1;1A;107;G10706;Gattendorf
1;1A;107;G10707;Gols
1;1A;107;G10708;Halbturn
1;1A;107;G10709;Illmitz
1;1A;107;G10710;Jois
1;1A;107;G10711;Kittsee
1;1A;107;G10712;Mönchhof
1;1A;107;G10713;Neusiedl am See
1;1A;107;G10714;Nickelsdorf
1;1A;107;G10715;Pama
1;1A;107;G10716;Pamhagen
1;1A;107;G10717;Parndorf
1;1A;107;G10718;Podersdorf am See
1;1A;107;G10719;Sankt Andrä am Zicksee
1;1A;107;G10720;Tadten
1;1A;107;G10721;Wallern im Burgenland
