C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
197311;W96-1;01;1792;14288
197311;W96-1;02;3845;18901
197311;W96-1;53;2;23
197311;W96-1;12;582;1788
197311;W96-1;05;3;18
197311;W96-1;11;3;3
197311;W96-1;14;8;73
197311;W96-1;15;4;4
197311;W96-1;20;276;392
197311;W96-1;22;26;77
197311;W96-1;23;4;22
197311;W96-1;25;22;46
197311;W96-1;27;6;7
197311;W96-1;29;2;24
197311;W96-1;31;6;69
197311;W96-1;32;58;326
197311;W96-1;34;4;4
197311;W96-1;38;72;202
197311;W96-1;39;16;45
197311;W96-1;16;5;8
197311;W96-1;40;129;146
197311;W96-1;06;1;5
197311;W96-1;35;4;4
197311;W96-2;01;3300;5990
197311;W96-2;02;8219;17911
197311;W96-2;53;45;279
197311;W96-2;12;1968;7366
197311;W96-2;04;6;6
197311;W96-2;05;27;30
197311;W96-2;08;6;6
197311;W96-2;11;16;25
197311;W96-2;13;20;25
197311;W96-2;14;162;188
197311;W96-2;15;37;38
197311;W96-2;30;45;45
197311;W96-2;18;2;2
197311;W96-2;19;5;5
197311;W96-2;20;997;1353
197311;W96-2;21;11;11
