C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
201801;W96-9;01;7272;13562
201801;W96-9;70;6212;10216
201801;W96-9;71;11778;19958
201801;W96-9;72;13257;21425
201801;W96-9;73;20469;33651
201801;W96-9;74;13776;23708
201801;W96-9;75;20243;33821
201801;W96-9;76;11644;21171
201801;W96-9;77;6159;11847
201801;W96-9;80;18214;38503
201801;W96-9;81;7884;17736
201801;W96-9;82;9727;21541
201801;W96-9;83;9044;19987
201801;W96-9;84;7483;16535
201801;W96-9;85;6516;14958
201801;W96-9;53;6477;13060
201801;W96-9;56;2884;6223
201801;W96-9;60;4566;11745
201801;W96-9;62;2816;6288
201801;W96-9;94;3605;9556
201801;W96-9;08;1996;4118
201801;W96-9;67;9532;18052
201801;W96-9;11;842;1936
201801;W96-9;86;434;856
201801;W96-9;13;1338;3188
201801;W96-9;14;9236;24692
201801;W96-9;15;3525;10064
201801;W96-9;87;2787;6506
201801;W96-9;18;1375;2973
201801;W96-9;49;142;341
201801;W96-9;19;2940;7623
201801;W96-9;20;17309;46971
201801;W96-9;21;6227;13385
201801;W96-9;22;7232;15188
201801;W96-9;23;1748;3965
201801;W96-9;51;3619;6711
201801;W96-9;88;435;852
201801;W96-9;89;383;871
201801;W96-9;63;537;1208
201801;W96-9;90;490;1502
201801;W96-9;61;382;955
201801;W96-9;25;5080;12633
201801;W96-9;26;871;1941
201801;W96-9;27;6691;12052
201801;W96-9;28;1146;2604
201801;W96-9;29;12315;23023
201801;W96-9;91;17890;50196
201801;W96-9;95;887;2032
201801;W96-9;31;1516;3599
201801;W96-9;32;9382;21096
201801;W96-9;10;2205;4142
201801;W96-9;52;2282;4645
201801;W96-9;33;7705;18618
201801;W96-9;34;498;1222
201801;W96-9;17;1699;3968
201801;W96-9;64;9123;16269
201801;W96-9;59;4014;7724
201801;W96-9;65;3167;4881
201801;W96-9;09;4742;8163
201801;W96-9;36;4907;11989
201801;W96-9;92;8539;17211
201801;W96-9;38;5417;10169
201801;W96-9;39;15164;36834
201801;W96-9;96;2780;4943
201801;W96-9;16;14739;34015
201801;W96-9;93;481;1291
201801;W96-9;57;1966;4542
201801;W96-9;58;1965;4853
201801;W96-9;37;5222;11753
201801;W96-9;40;2164;5135
201802;W96-9;01;7313;15222
201802;W96-9;70;6013;9912
201802;W96-9;71;11879;20627
201802;W96-9;72;11663;19558
201802;W96-9;73;21650;34881
201802;W96-9;74;13110;23202
201802;W96-9;75;20310;35580
201802;W96-9;76;11663;21255
201802;W96-9;77;5728;11164
201802;W96-9;80;19873;41237
201802;W96-9;81;8563;19014
201802;W96-9;82;10938;24603
201802;W96-9;83;9480;20377
201802;W96-9;84;8435;18812
201802;W96-9;85;6870;15195
201802;W96-9;53;7340;15747
201802;W96-9;56;2445;5256
201802;W96-9;60;2410;5993
201802;W96-9;62;3519;7995
201802;W96-9;94;2725;7487
201802;W96-9;08;1932;3755
201802;W96-9;67;15627;29887
201802;W96-9;11;1450;3079
201802;W96-9;86;561;1121
201802;W96-9;13;1982;4405
201802;W96-9;14;9580;22874
201802;W96-9;15;2797;6489
201802;W96-9;87;2212;5465
201802;W96-9;18;1713;3592
201802;W96-9;49;155;393
201802;W96-9;19;3282;8053
201802;W96-9;20;13784;30295
201802;W96-9;21;9353;19882
201802;W96-9;22;7228;14931
201802;W96-9;23;2101;4935
201802;W96-9;51;2902;5173
201802;W96-9;88;451;924
201802;W96-9;89;623;1345
201802;W96-9;63;572;1425
201802;W96-9;90;423;1247
201802;W96-9;61;274;792
201802;W96-9;25;6530;14256
201802;W96-9;26;1448;3107
201802;W96-9;27;6687;12978
201802;W96-9;28;2168;4851
201802;W96-9;29;11045;21556
201802;W96-9;91;10994;27500
201802;W96-9;95;884;2003
201802;W96-9;31;2217;4564
201802;W96-9;32;9709;22299
201802;W96-9;10;2654;5022
201802;W96-9;52;2234;4282
201802;W96-9;33;7894;16677
201802;W96-9;34;563;1344
201802;W96-9;17;1740;3994
201802;W96-9;64;6459;12373
201802;W96-9;59;3495;6996
201802;W96-9;65;4049;7304
201802;W96-9;09;5651;9777
201802;W96-9;36;4328;9248
201802;W96-9;92;3758;8064
201802;W96-9;38;5705;10436
201802;W96-9;39;13975;32052
201802;W96-9;96;2308;3972
201802;W96-9;16;18100;39251
201802;W96-9;93;345;918
201802;W96-9;57;2124;5010
201802;W96-9;58;1947;4622
201802;W96-9;37;4607;10596
201802;W96-9;40;2773;6107
201803;W96-9;01;8240;17335
201803;W96-9;70;6815;12247
201803;W96-9;71;14704;27597
201803;W96-9;72;14268;24627
201803;W96-9;73;24477;43665
201803;W96-9;74;16178;29187
201803;W96-9;75;24136;44671
201803;W96-9;76;14913;29027
201803;W96-9;77;7567;16052
201803;W96-9;80;29097;65196
201803;W96-9;81;13504;33577
201803;W96-9;82;16042;39736
201803;W96-9;83;14758;34993
201803;W96-9;84;12152;29519
201803;W96-9;85;10543;24939
201803;W96-9;53;9947;22867
201803;W96-9;56;3882;8190
201803;W96-9;60;2193;5701
201803;W96-9;62;3740;8503
201803;W96-9;94;2735;7960
201803;W96-9;08;2427;5156
201803;W96-9;67;13929;24220
201803;W96-9;11;1884;5193
201803;W96-9;86;519;1410
201803;W96-9;13;2815;6950
201803;W96-9;14;11019;27342
201803;W96-9;15;2851;7323
201803;W96-9;87;2597;6781
201803;W96-9;18;2070;4842
201803;W96-9;49;266;795
201803;W96-9;19;3804;10146
201803;W96-9;20;26782;67230
201803;W96-9;21;11152;25096
201803;W96-9;22;5793;11866
201803;W96-9;23;3223;7942
201803;W96-9;51;2859;5308
201803;W96-9;88;542;1416
201803;W96-9;89;588;1454
201803;W96-9;63;788;1874
201803;W96-9;90;636;1770
201803;W96-9;61;258;640
201803;W96-9;25;7421;17538
201803;W96-9;26;1913;5307
201803;W96-9;27;6278;12678
201803;W96-9;28;2963;7893
201803;W96-9;29;8616;19964
201803;W96-9;91;13822;37466
201803;W96-9;95;869;2647
201803;W96-9;31;3084;7764
201803;W96-9;32;12799;29217
201803;W96-9;10;2739;5451
201803;W96-9;52;2414;5054
201803;W96-9;33;12633;29923
201803;W96-9;34;491;1360
201803;W96-9;17;2934;6795
201803;W96-9;64;7428;12088
201803;W96-9;59;6834;12380
201803;W96-9;65;7010;11101
201803;W96-9;09;7034;12102
201803;W96-9;36;4380;10111
201803;W96-9;92;4852;11012
201803;W96-9;38;8916;16419
201803;W96-9;39;21323;50921
201803;W96-9;96;3307;6418
201803;W96-9;16;21569;50608
201803;W96-9;93;365;811
201803;W96-9;57;2982;6877
201803;W96-9;58;3922;10006
201803;W96-9;37;5665;13197
201803;W96-9;40;3659;8833
201804;W96-9;01;7990;16540
201804;W96-9;70;8691;16047
201804;W96-9;71;16722;31127
201804;W96-9;72;14807;25186
201804;W96-9;73;27015;44950
201804;W96-9;74;18886;34495
201804;W96-9;75;27019;48182
201804;W96-9;76;17470;33355
201804;W96-9;77;9162;18616
201804;W96-9;80;31951;75120
201804;W96-9;81;15010;38268
201804;W96-9;82;16688;42353
201804;W96-9;83;15518;38863
201804;W96-9;84;14141;34801
201804;W96-9;85;12374;30815
201804;W96-9;53;11294;26797
201804;W96-9;56;3553;7921
201804;W96-9;60;3441;9318
201804;W96-9;62;5308;13347
201804;W96-9;94;4196;10444
201804;W96-9;08;3450;7392
201804;W96-9;67;16953;31615
201804;W96-9;11;2363;5830
201804;W96-9;86;934;2373
201804;W96-9;13;5002;12017
201804;W96-9;14;16787;45735
201804;W96-9;15;3262;7864
201804;W96-9;87;2542;6048
201804;W96-9;18;2257;4976
201804;W96-9;49;279;752
201804;W96-9;19;5865;15778
201804;W96-9;20;28391;73722
201804;W96-9;21;8296;18283
201804;W96-9;22;8818;18693
201804;W96-9;23;4257;11265
201804;W96-9;51;3595;6980
201804;W96-9;88;600;1328
201804;W96-9;89;716;1550
201804;W96-9;63;1223;3263
201804;W96-9;90;450;1335
201804;W96-9;61;501;1180
201804;W96-9;25;10164;24557
201804;W96-9;26;2465;6287
