C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-1;60
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-2;67
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-3;61
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-4;71
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-5;77
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-6;82
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-7;79
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-8;79
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-9;94
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-10;67
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-11;70
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-12;89
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-13;84
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-14;86
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-15;93
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-16;91
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-17;87
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-18;76
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-19;75
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-20;68
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-21;84
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-22;84
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-23;95
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-24;80
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-25;86
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-26;101
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-27;107
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-28;99
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-29;70
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-30;89
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-31;93
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-32;117
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-33;112
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-34;114
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-35;112
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-36;129
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-37;119
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-38;105
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-39;123
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-40;104
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-41;109
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-42;115
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-43;116
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-44;133
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-45;104
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-46;108
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-47;103
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-48;103
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-49;103
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-50;95
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-51;91
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-52;100
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-53;125
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-54;118
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-55;110
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-56;110
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-57;126
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-58;115
A10-2025;C11-1;GRGEMAKT-10101;GALTEJ112-59;105
