C-HPIQ-0;F-HPI1;F-HPI11;F-HPI12;F-HPI12A;F-HPI12B
HPIZ-20111;5,2;4,5;5,5;5,9;5,1
HPIZ-20112;5,3;4,8;5,4;3,5;7,3
HPIZ-20113;5,6;6,1;5,4;3,1;7,6
HPIZ-20114;5,3;5,5;5,3;2,1;8,3
HPIZ-20121;8,0;9,2;7,6;3,4;11,6
HPIZ-20122;5,1;8,0;3,9;3,1;4,6
HPIZ-20123;7,4;10,7;6,0;5,9;6,2
HPIZ-20124;6,0;5,5;6,2;6,5;5,9
HPIZ-20131;4,4;4,8;4,1;3,8;4,6
HPIZ-20132;8,0;6,4;8,6;6,0;11,4
HPIZ-20133;3,5;0,9;4,6;1,6;8,0
HPIZ-20134;4,2;7,3;2,8;2,4;3,3
HPIZ-20141;4,3;3,8;4,5;1,0;8,0
HPIZ-20142;2,3;1,8;2,6;0,4;4,7
HPIZ-20143;3,8;5,8;3,0;2,5;3,1
HPIZ-20144;4,9;5,0;4,8;2,7;6,9
HPIZ-20151;5,7;3,5;7,2;8,6;6,0
HPIZ-20152;6,0;7,2;5,5;6,3;4,7
HPIZ-20153;6,2;6,7;6,0;6,8;5,3
HPIZ-20154;4,7;4,9;4,5;4,9;4,1
HPIZ-20161;6,0;10,0;3,7;5,0;2,3
HPIZ-20162;6,7;8,0;5,9;7,1;4,7
HPIZ-20163;6,8;7,7;6,2;7,2;5,1
HPIZ-20164;7,3;5,8;7,9;8,8;7,1
HPIZ-20171;5,5;1,7;6,9;7,4;6,4
HPIZ-20172;5,4;3,3;6,2;6,3;6,1
HPIZ-20173;5,2;2,3;6,2;7,7;4,7
HPIZ-20174;4,3;2,4;4,9;4,6;5,2
HPIZ-20181;4,9;3,0;5,6;4,4;6,7
HPIZ-20182;5,8;4,5;6,1;4,4;7,7
HPIZ-20183;5,7;4,7;6,0;4,7;7,2
HPIZ-20184;7,6;7,7;7,5;7,4;7,5
HPIZ-20191;5,6;5,6;5,6;5,8;5,3
HPIZ-20192;5,8;5,1;6,0;6,4;5,7
HPIZ-20193;6,4;6,9;6,2;5,6;6,8
HPIZ-20194;6,3;6,2;6,3;5,4;7,1
HPIZ-20201;8,0;8,2;8,0;9,0;7,1
HPIZ-20202;6,6;7,4;6,2;7,0;5,5
HPIZ-20203;8,0;6,3;8,7;9,4;8,1
HPIZ-20204;7,7;7,9;7,7;9,0;6,5
HPIZ-20211;9,8;8,3;10,6;10,1;10,9
HPIZ-20212;11,2;6,4;13,8;13,6;13,8
HPIZ-20213;11,3;8,9;12,6;13,8;11,5
HPIZ-20214;13,4;9,7;15,4;16,2;14,7
HPIZ-20221;14,3;12,7;15,1;17,3;13,2
HPIZ-20222;13,6;13,9;13,5;15,6;11,7
HPIZ-20223;13,1;13,6;12,8;14,5;11,4
HPIZ-20224;5,7;6,1;5,5;8,0;3,5
HPIZ-20231;-0,2;0,3;-0,4;0,2;-0,9
HPIZ-20232;-2,8;-0,1;-4,1;-2,4;-5,5
HPIZ-20233;-5,4;-2,3;-6,8;-5,4;-7,9
HPIZ-20234;-3,0;1,1;-4,8;-5,9;-3,9
HPIZ-20241;-2,9;2,6;-5,3;-5,3;-5,3
HPIZ-20242;-0,2;2,0;-1,3;-2,6;-0,3
HPIZ-20243;0,5;2,4;-0,2;-1,3;0,6
HPIZ-20244;1,1;3,0;0,6;0,8;0,4
HPIZ-20251;3,5;3,7;3,5;3,8;3,1
HPIZ-20252;1,6;2,5;1,3;2,1;0,6
HPIZ-20253;1,7;2,0;1,5;2,2;0,9
HPIZ-20254;3,1;2,8;3,1;3,8;2,5
HPIZ-20261;3,5;3,2;3,5;3,3;3,7
HPIZ-2011;5,4;5,2;5,4;3,7;7,1
HPIZ-2012;6,6;8,3;5,9;4,7;7,0
HPIZ-2013;5,0;4,8;5,0;3,4;6,8
HPIZ-2014;3,8;4,1;3,7;1,6;5,6
HPIZ-2015;5,6;5,6;5,8;6,7;5,0
HPIZ-2016;6,7;7,9;5,9;7,0;4,8
HPIZ-2017;5,1;2,4;6,0;6,5;5,6
HPIZ-2018;6,0;5,0;6,3;5,2;7,3
HPIZ-2019;6,0;6,0;6,0;5,8;6,2
HPIZ-2020;7,6;7,5;7,7;8,6;6,8
HPIZ-2021;11,4;8,4;13,1;13,4;12,8
HPIZ-2022;11,6;11,5;11,6;13,7;9,9
HPIZ-2023;-2,9;-0,3;-4,1;-3,4;-4,6
HPIZ-2024;-0,4;2,5;-1,6;-2,1;-1,2
HPIZ-2025;2,5;2,7;2,4;3,0;1,8
