Bevölkerung nach Geschlecht, 3 unregelmäßigen Altersgruppen und Nationalität seit 2008 - Zählbezirke Wien | Population by sex, 3 broad age groups and nationality since 2008 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGR3;AUT;FOR
AT13;90100;90101;2008;20080101;1;1;137;29
AT13;90100;90101;2008;20080101;1;2;1075;326
AT13;90100;90101;2008;20080101;1;3;339;39
AT13;90100;90101;2008;20080101;2;1;147;27
AT13;90100;90101;2008;20080101;2;2;1089;315
AT13;90100;90101;2008;20080101;2;3;508;34
AT13;90100;90102;2008;20080101;1;1;69;11
AT13;90100;90102;2008;20080101;1;2;406;116
AT13;90100;90102;2008;20080101;1;3;127;15
AT13;90100;90102;2008;20080101;2;1;68;23
AT13;90100;90102;2008;20080101;2;2;404;126
AT13;90100;90102;2008;20080101;2;3;203;10
AT13;90100;90103;2008;20080101;1;1;68;17
AT13;90100;90103;2008;20080101;1;2;530;187
AT13;90100;90103;2008;20080101;1;3;186;32
AT13;90100;90103;2008;20080101;2;1;80;29
AT13;90100;90103;2008;20080101;2;2;521;194
AT13;90100;90103;2008;20080101;2;3;252;26
AT13;90100;90104;2008;20080101;1;1;63;9
AT13;90100;90104;2008;20080101;1;2;430;127
AT13;90100;90104;2008;20080101;1;3;135;13
AT13;90100;90104;2008;20080101;2;1;61;14
AT13;90100;90104;2008;20080101;2;2;426;110
AT13;90100;90104;2008;20080101;2;3;178;14
AT13;90100;90105;2008;20080101;1;1;98;29
AT13;90100;90105;2008;20080101;1;2;601;171
AT13;90100;90105;2008;20080101;1;3;143;15
AT13;90100;90105;2008;20080101;2;1;99;21
AT13;90100;90105;2008;20080101;2;2;621;161
AT13;90100;90105;2008;20080101;2;3;229;9
AT13;90100;90106;2008;20080101;1;1;101;17
AT13;90100;90106;2008;20080101;1;2;761;156
AT13;90100;90106;2008;20080101;1;3;209;30
AT13;90100;90106;2008;20080101;2;1;114;10
AT13;90100;90106;2008;20080101;2;2;813;163
AT13;90100;90106;2008;20080101;2;3;340;21
AT13;90100;90107;2008;20080101;1;1;103;20
AT13;90100;90107;2008;20080101;1;2;715;206
AT13;90100;90107;2008;20080101;1;3;246;23
AT13;90100;90107;2008;20080101;2;1;83;32
AT13;90100;90107;2008;20080101;2;2;664;199
AT13;90100;90107;2008;20080101;2;3;370;31
AT13;90100;90199;2008;20080101;1;1;0;0
AT13;90100;90199;2008;20080101;1;2;3;0
AT13;90100;90199;2008;20080101;1;3;0;0
AT13;90100;90199;2008;20080101;2;1;0;0
AT13;90100;90199;2008;20080101;2;2;4;0
AT13;90100;90199;2008;20080101;2;3;0;0
AT13;90100;90101;2009;20090101;1;1;136;27
AT13;90100;90101;2009;20090101;1;2;1022;285
AT13;90100;90101;2009;20090101;1;3;356;42
AT13;90100;90101;2009;20090101;2;1;141;32
AT13;90100;90101;2009;20090101;2;2;1031;281
AT13;90100;90101;2009;20090101;2;3;520;39
AT13;90100;90102;2009;20090101;1;1;76;12
AT13;90100;90102;2009;20090101;1;2;402;118
AT13;90100;90102;2009;20090101;1;3;126;14
AT13;90100;90102;2009;20090101;2;1;68;21
AT13;90100;90102;2009;20090101;2;2;373;129
AT13;90100;90102;2009;20090101;2;3;204;12
AT13;90100;90103;2009;20090101;1;1;77;21
AT13;90100;90103;2009;20090101;1;2;513;177
AT13;90100;90103;2009;20090101;1;3;187;34
AT13;90100;90103;2009;20090101;2;1;79;27
AT13;90100;90103;2009;20090101;2;2;506;191
AT13;90100;90103;2009;20090101;2;3;256;29
AT13;90100;90104;2009;20090101;1;1;70;7
AT13;90100;90104;2009;20090101;1;2;414;126
AT13;90100;90104;2009;20090101;1;3;134;15
AT13;90100;90104;2009;20090101;2;1;54;14
AT13;90100;90104;2009;20090101;2;2;416;113
AT13;90100;90104;2009;20090101;2;3;181;14
AT13;90100;90105;2009;20090101;1;1;90;22
AT13;90100;90105;2009;20090101;1;2;583;156
AT13;90100;90105;2009;20090101;1;3;151;16
AT13;90100;90105;2009;20090101;2;1;91;18
AT13;90100;90105;2009;20090101;2;2;585;151
AT13;90100;90105;2009;20090101;2;3;227;9
AT13;90100;90106;2009;20090101;1;1;110;16
AT13;90100;90106;2009;20090101;1;2;739;161
AT13;90100;90106;2009;20090101;1;3;226;30
AT13;90100;90106;2009;20090101;2;1;104;14
AT13;90100;90106;2009;20090101;2;2;792;170
AT13;90100;90106;2009;20090101;2;3;345;22
AT13;90100;90107;2009;20090101;1;1;99;17
AT13;90100;90107;2009;20090101;1;2;697;206
AT13;90100;90107;2009;20090101;1;3;259;27
AT13;90100;90107;2009;20090101;2;1;69;35
AT13;90100;90107;2009;20090101;2;2;634;219
AT13;90100;90107;2009;20090101;2;3;369;35
AT13;90100;90199;2009;20090101;1;1;0;0
AT13;90100;90199;2009;20090101;1;2;4;0
AT13;90100;90199;2009;20090101;1;3;0;0
AT13;90100;90199;2009;20090101;2;1;0;0
AT13;90100;90199;2009;20090101;2;2;3;0
AT13;90100;90199;2009;20090101;2;3;0;0
AT13;90100;90101;2010;20100101;1;1;148;21
AT13;90100;90101;2010;20100101;1;2;976;278
AT13;90100;90101;2010;20100101;1;3;371;46
AT13;90100;90101;2010;20100101;2;1;141;35
AT13;90100;90101;2010;20100101;2;2;1019;279
AT13;90100;90101;2010;20100101;2;3;525;41
AT13;90100;90102;2010;20100101;1;1;80;12
AT13;90100;90102;2010;20100101;1;2;405;119
AT13;90100;90102;2010;20100101;1;3;125;13
AT13;90100;90102;2010;20100101;2;1;75;23
AT13;90100;90102;2010;20100101;2;2;375;138
AT13;90100;90102;2010;20100101;2;3;211;16
AT13;90100;90103;2010;20100101;1;1;77;23
AT13;90100;90103;2010;20100101;1;2;506;175
AT13;90100;90103;2010;20100101;1;3;197;34
AT13;90100;90103;2010;20100101;2;1;74;27
AT13;90100;90103;2010;20100101;2;2;485;207
AT13;90100;90103;2010;20100101;2;3;268;28
AT13;90100;90104;2010;20100101;1;1;69;8
AT13;90100;90104;2010;20100101;1;2;387;109
AT13;90100;90104;2010;20100101;1;3;141;14
AT13;90100;90104;2010;20100101;2;1;60;20
AT13;90100;90104;2010;20100101;2;2;399;119
AT13;90100;90104;2010;20100101;2;3;183;14
AT13;90100;90105;2010;20100101;1;1;97;23
AT13;90100;90105;2010;20100101;1;2;557;149
AT13;90100;90105;2010;20100101;1;3;159;20
AT13;90100;90105;2010;20100101;2;1;100;20
AT13;90100;90105;2010;20100101;2;2;563;140
AT13;90100;90105;2010;20100101;2;3;220;9
AT13;90100;90106;2010;20100101;1;1;112;17
AT13;90100;90106;2010;20100101;1;2;716;160
AT13;90100;90106;2010;20100101;1;3;232;27
AT13;90100;90106;2010;20100101;2;1;92;20
AT13;90100;90106;2010;20100101;2;2;756;181
AT13;90100;90106;2010;20100101;2;3;350;22
AT13;90100;90107;2010;20100101;1;1;107;19
AT13;90100;90107;2010;20100101;1;2;691;206
AT13;90100;90107;2010;20100101;1;3;269;28
AT13;90100;90107;2010;20100101;2;1;72;24
AT13;90100;90107;2010;20100101;2;2;621;239
AT13;90100;90107;2010;20100101;2;3;371;34
AT13;90100;90199;2010;20100101;1;1;0;0
AT13;90100;90199;2010;20100101;1;2;3;0
AT13;90100;90199;2010;20100101;1;3;0;0
AT13;90100;90199;2010;20100101;2;1;0;0
AT13;90100;90199;2010;20100101;2;2;3;0
AT13;90100;90199;2010;20100101;2;3;0;0
AT13;90100;90101;2011;20110101;1;1;152;29
AT13;90100;90101;2011;20110101;1;2;968;282
AT13;90100;90101;2011;20110101;1;3;374;50
AT13;90100;90101;2011;20110101;2;1;140;35
AT13;90100;90101;2011;20110101;2;2;1004;287
AT13;90100;90101;2011;20110101;2;3;520;40
AT13;90100;90102;2011;20110101;1;1;71;12
AT13;90100;90102;2011;20110101;1;2;386;124
AT13;90100;90102;2011;20110101;1;3;128;12
AT13;90100;90102;2011;20110101;2;1;64;32
AT13;90100;90102;2011;20110101;2;2;364;143
AT13;90100;90102;2011;20110101;2;3;204;11
AT13;90100;90103;2011;20110101;1;1;82;26
AT13;90100;90103;2011;20110101;1;2;488;159
AT13;90100;90103;2011;20110101;1;3;193;32
AT13;90100;90103;2011;20110101;2;1;73;33
AT13;90100;90103;2011;20110101;2;2;469;192
AT13;90100;90103;2011;20110101;2;3;271;25
AT13;90100;90104;2011;20110101;1;1;72;11
AT13;90100;90104;2011;20110101;1;2;373;106
AT13;90100;90104;2011;20110101;1;3;144;14
AT13;90100;90104;2011;20110101;2;1;53;25
AT13;90100;90104;2011;20110101;2;2;393;122
AT13;90100;90104;2011;20110101;2;3;190;16
AT13;90100;90105;2011;20110101;1;1;97;28
AT13;90100;90105;2011;20110101;1;2;562;151
AT13;90100;90105;2011;20110101;1;3;155;21
AT13;90100;90105;2011;20110101;2;1;103;24
AT13;90100;90105;2011;20110101;2;2;560;167
AT13;90100;90105;2011;20110101;2;3;218;12
AT13;90100;90106;2011;20110101;1;1;100;17
AT13;90100;90106;2011;20110101;1;2;705;161
AT13;90100;90106;2011;20110101;1;3;244;24
AT13;90100;90106;2011;20110101;2;1;104;26
AT13;90100;90106;2011;20110101;2;2;750;180
AT13;90100;90106;2011;20110101;2;3;341;26
AT13;90100;90107;2011;20110101;1;1;94;26
AT13;90100;90107;2011;20110101;1;2;673;199
AT13;90100;90107;2011;20110101;1;3;262;26
AT13;90100;90107;2011;20110101;2;1;75;22
AT13;90100;90107;2011;20110101;2;2;603;230
AT13;90100;90107;2011;20110101;2;3;367;34
AT13;90100;90199;2011;20110101;1;1;0;0
AT13;90100;90199;2011;20110101;1;2;2;0
AT13;90100;90199;2011;20110101;1;3;0;0
AT13;90100;90199;2011;20110101;2;1;0;0
AT13;90100;90199;2011;20110101;2;2;2;0
AT13;90100;90199;2011;20110101;2;3;0;0
AT13;90100;90101;2012;20120101;1;1;143;36
AT13;90100;90101;2012;20120101;1;2;934;294
AT13;90100;90101;2012;20120101;1;3;377;50
AT13;90100;90101;2012;20120101;2;1;145;36
AT13;90100;90101;2012;20120101;2;2;986;273
AT13;90100;90101;2012;20120101;2;3;520;44
AT13;90100;90102;2012;20120101;1;1;66;22
AT13;90100;90102;2012;20120101;1;2;377;130
AT13;90100;90102;2012;20120101;1;3;135;12
AT13;90100;90102;2012;20120101;2;1;69;37
AT13;90100;90102;2012;20120101;2;2;349;152
AT13;90100;90102;2012;20120101;2;3;206;13
AT13;90100;90103;2012;20120101;1;1;87;34
AT13;90100;90103;2012;20120101;1;2;486;160
AT13;90100;90103;2012;20120101;1;3;200;33
AT13;90100;90103;2012;20120101;2;1;69;38
AT13;90100;90103;2012;20120101;2;2;468;198
AT13;90100;90103;2012;20120101;2;3;263;26
AT13;90100;90104;2012;20120101;1;1;68;11
AT13;90100;90104;2012;20120101;1;2;375;106
AT13;90100;90104;2012;20120101;1;3;146;12
AT13;90100;90104;2012;20120101;2;1;56;28
AT13;90100;90104;2012;20120101;2;2;380;126
AT13;90100;90104;2012;20120101;2;3;195;19
AT13;90100;90105;2012;20120101;1;1;90;27
AT13;90100;90105;2012;20120101;1;2;551;159
AT13;90100;90105;2012;20120101;1;3;151;23
AT13;90100;90105;2012;20120101;2;1;106;24
AT13;90100;90105;2012;20120101;2;2;552;182
AT13;90100;90105;2012;20120101;2;3;223;8
AT13;90100;90106;2012;20120101;1;1;97;17
AT13;90100;90106;2012;20120101;1;2;687;151
AT13;90100;90106;2012;20120101;1;3;246;25
AT13;90100;90106;2012;20120101;2;1;97;26
AT13;90100;90106;2012;20120101;2;2;717;170
AT13;90100;90106;2012;20120101;2;3;334;28
AT13;90100;90107;2012;20120101;1;1;97;35
AT13;90100;90107;2012;20120101;1;2;652;198
AT13;90100;90107;2012;20120101;1;3;268;31
AT13;90100;90107;2012;20120101;2;1;68;33
AT13;90100;90107;2012;20120101;2;2;591;239
AT13;90100;90107;2012;20120101;2;3;359;38
AT13;90100;90199;2012;20120101;1;1;0;0
AT13;90100;90199;2012;20120101;1;2;0;0
AT13;90100;90199;2012;20120101;1;3;0;0
AT13;90100;90199;2012;20120101;2;1;0;0
AT13;90100;90199;2012;20120101;2;2;0;0
AT13;90100;90199;2012;20120101;2;3;0;0
AT13;90100;90101;2013;20130101;1;1;141;43
AT13;90100;90101;2013;20130101;1;2;899;322
AT13;90100;90101;2013;20130101;1;3;391;56
AT13;90100;90101;2013;20130101;2;1;136;42
AT13;90100;90101;2013;20130101;2;2;972;294
AT13;90100;90101;2013;20130101;2;3;525;50
AT13;90100;90102;2013;20130101;1;1;65;21
AT13;90100;90102;2013;20130101;1;2;366;114
AT13;90100;90102;2013;20130101;1;3;133;12
