Bevölkerungsprognose nach Geschlecht, 6 unregelmäßigen Altersgruppen und Geburtsland von 2025 bis 2035 - Prognoseregionen Wien | Population projection by sex, 6 broad age groups and country of birth from 2025 to 2035 - forecast areas of Vienna
NUTS;DISTRICT_CODE;PRG_CODE;REF_YEAR;REF_DATE;SEX;AGEP;AUT;FOR
AT13;90100;1A;2025;20250101;1;1;263,00;59,00
AT13;90100;1A;2025;20250101;1;2;368,00;128,00
AT13;90100;1A;2025;20250101;1;3;1367,00;949,00
AT13;90100;1A;2025;20250101;1;4;1699,00;1074,00
AT13;90100;1A;2025;20250101;1;5;841,00;459,00
AT13;90100;1A;2025;20250101;1;6;436,00;177,00
AT13;90100;1A;2025;20250101;2;1;237,00;44,00
AT13;90100;1A;2025;20250101;2;2;361,00;123,00
AT13;90100;1A;2025;20250101;2;3;1236,00;1268,00
AT13;90100;1A;2025;20250101;2;4;1436,00;1422,00
AT13;90100;1A;2025;20250101;2;5;925,00;587,00
AT13;90100;1A;2025;20250101;2;6;578,00;244,00
AT13;90200;2A;2025;20250101;1;1;873,00;49,00
AT13;90200;2A;2025;20250101;1;2;1075,00;172,00
AT13;90200;2A;2025;20250101;1;3;2758,00;2054,00
AT13;90200;2A;2025;20250101;1;4;1837,00;1742,00
AT13;90200;2A;2025;20250101;1;5;376,00;305,00
AT13;90200;2A;2025;20250101;1;6;107,00;54,00
AT13;90200;2A;2025;20250101;2;1;786,00;52,00
AT13;90200;2A;2025;20250101;2;2;980,00;164,00
AT13;90200;2A;2025;20250101;2;3;2694,00;2245,00
AT13;90200;2A;2025;20250101;2;4;1706,00;1992,00
AT13;90200;2A;2025;20250101;2;5;448,00;438,00
