Datum;Argentinierstraße;Donaukanal;Langobardenstraße;Lassallestraße;Liesingbach;Neubaugürtel ;Opernring Innen;Opernring Außen;Opernring;Wienzeile;Margaritensteg ;Operngasse;Praterstern;Pfeilgasse;Praterbrücke;Friedrich-Engels-Platz;Kraftwerk Freudenau;Maria-Restituta-Platz;Steinitzsteg;Herndlgasse
20250101;664;188;143;408;63;279;479;277;756;267;0;591;477;336;288;89;55;71;223;157
20250102;1159;270;201;797;100;474;798;465;1263;386;0;1343;959;439;458;156;34;134;392;276
20250103;1271;305;277;907;122;604;1046;592;1638;476;0;1533;1096;593;596;201;74;188;439;358
20250104;950;402;266;770;129;530;933;521;1454;397;0;1100;908;489;592;163;118;149;485;351
20250105;685;85;146;383;74;259;429;247;676;198;0;668;443;222;136;93;10;61;143;195
20250106;1233;266;229;691;104;457;784;445;1229;358;0;1096;799;446;446;143;69;129;310;283
20250107;2561;456;378;1322;225;1014;1725;996;2721;769;0;3033;1932;1319;872;250;59;229;679;529
20250108;3101;736;509;1775;302;1417;2404;1395;3799;1091;0;3776;2678;1732;1416;407;206;400;1162;717
20250109;3269;668;598;1741;298;1306;2219;1282;3501;1084;0;4253;2627;1896;1398;379;174;389;1063;778
20250110;2466;508;472;1415;250;1125;1919;1106;3025;790;0;3030;2105;1320;920;268;105;279;824;648
20250111;1356;394;244;839;155;686;1217;676;1893;487;0;1454;1151;737;715;198;105;186;495;409
20250112;1146;252;190;538;106;461;795;430;1225;314;0;1152;801;474;357;144;67;140;271;314
20250113;2684;498;444;1356;224;1099;1870;1078;2948;883;0;3256;2248;1466;1007;360;93;305;796;636
20250114;3073;569;494;1734;277;1221;2088;1197;3285;1024;0;3701;2455;1553;1322;362;168;332;1021;651
20250115;2487;311;415;1129;173;795;1338;778;2116;609;0;2747;1816;1063;793;275;58;241;571;451
20250116;3133;460;510;1601;235;1103;1881;1082;2963;898;0;3432;2405;1417;1009;384;125;325;842;660
20250117;2621;488;464;1339;216;1032;1776;1011;2787;790;0;2946;2009;1280;1033;350;131;290;764;607
20250118;1384;287;251;757;139;641;1141;632;1773;434;0;1405;1072;673;511;201;101;140;422;393
20250119;1146;291;206;600;132;501;847;467;1314;411;0;1181;812;507;431;183;73;127;378;342
20250120;2549;398;402;1107;204;956;1607;937;2544;784;0;2873;1632;1266;766;280;74;245;598;560
20250121;2790;365;425;1162;209;1001;1715;980;2695;785;0;3156;1833;1286;837;287;70;273;605;542
20250122;2814;429;435;1226;182;982;1668;963;2631;733;0;3125;1876;1374;835;280;62;226;653;528
20250123;2540;372;374;1149;154;854;1447;835;2282;612;0;2909;1771;1182;674;259;57;234;519;501
20250124;2260;582;457;1385;238;1046;1777;1029;2806;869;0;2948;1949;1276;1007;299;185;328;800;610
20250125;1230;318;230;743;120;588;1033;580;1613;455;0;1369;984;653;441;152;66;140;418;360
20250126;989;907;338;1504;198;664;1111;620;1731;797;0;1529;1720;634;1609;350;449;378;1217;483
20250127;3496;818;599;2025;319;1295;2206;1270;3476;1286;0;3689;2754;1548;1706;471;295;456;1393;782
20250128;3478;705;526;1827;292;1260;2153;1236;3389;1061;0;3717;2559;1578;1320;403;164;388;1079;678
