Lumes;v2.10;18.09.26-21:30:00
;Zeit-LTM;LTM;Zeit-Wind;WG;WR;Zeit-RF;RF;Zeit-NO2;NO2;Zeit-NOX;NOX;Zeit-PM10;PM10;PM10;Zeit-PM25;PM25;PM25;Zeit-O3;O3;O3;Zeit-SO2;SO2;Zeit-CO;CO;CO
;;HMW;;HMW;HMW;;HMW;;HMW;;HMW;;MW24;HMW;;MW24;HMW;;1MW;HMW;;HMW;;MW8;HMW
;MESZ;�C;MESZ;km/h;�;MESZ;%;MESZ;�g/m�;MESZ;�g/m�;MESZ;�g/m�;�g/m�;MESZ;�g/m�;�g/m�;MESZ;�g/m�;�g/m�;MESZ;�g/m�;MESZ;mg/m�;mg/m�
STEF;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;9,09;18.09.2026, 21:30;8,96;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;91,53;92,39;18.09.2026, 21:30;2,78;18.09.2026, 21:30;NE;NE
TAB;18.09.2026, 21:30;NE;18.09.2026, 21:30;---;---;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;11,46;8,70;18.09.2026, 21:30;5,92;4,34;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
AKA;18.09.2026, 21:30;20,48;18.09.2026, 21:30;18,68;277,54;18.09.2026, 21:30;49,42;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
AKC;18.09.2026, 21:30;---;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;---;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;9,62;6,97;18.09.2026, 21:30;5,53;4,02;18.09.2026, 20:30;87,79;87,36;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
BELG;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;17,93;18.09.2026, 21:30;19,09;18.09.2026, 21:30;8,75;9,46;18.09.2026, 21:30;4,80;4,48;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
KE;18.09.2026, 21:30;19,06;18.09.2026, 21:30;1,09;274,28;18.09.2026, 21:30;52,59;18.09.2026, 21:30;19,91;18.09.2026, 21:30;21,54;18.09.2026, 21:30;10,51;10,65;18.09.2026, 21:30;5,41;4,30;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;2,50;18.09.2026, 21:30;NE;NE
A23;18.09.2026, 21:30;20,87;18.09.2026, 21:30;6,07;251,69;18.09.2026, 21:30;46,81;18.09.2026, 21:30;18,78;18.09.2026, 21:30;17,84;18.09.2026, 21:30;11,95;10,43;18.09.2026, 21:30;6,46;4,79;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;0,15;0,17
GAUD;18.09.2026, 21:30;19,84;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;46,93;18.09.2026, 21:30;18,10;18.09.2026, 21:30;18,06;18.09.2026, 21:30;8,32;8,93;18.09.2026, 21:30;4,85;4,67;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
MBA;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:00;28,74;18.09.2026, 21:00;35,51;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;0,23;0,23
KEND;18.09.2026, 21:30;NE;18.09.2026, 21:30;5,60;293,03;18.09.2026, 21:30;NE;18.09.2026, 21:30;10,84;18.09.2026, 21:30;11,40;18.09.2026, 21:30;10,16;9,54;18.09.2026, 21:30;5,32;4,76;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
LERG;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;19,42;18.09.2026, 21:30;24,26;18.09.2026, 21:30;11,17;9,65;18.09.2026, 21:30;6,41;5,01;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;0,24;0,24
SCHA;18.09.2026, 21:30;NE;18.09.2026, 21:30;7,34;248,17;18.09.2026, 21:30;NE;18.09.2026, 21:30;6,36;18.09.2026, 21:30;7,71;18.09.2026, 21:30;7,62;8,93;18.09.2026, 21:30;4,49;4,63;18.09.2026, 21:30;92,46;91,88;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
JAEG;18.09.2026, 21:30;16,59;18.09.2026, 21:30;22,46;263,40;18.09.2026, 21:30;58,06;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
ZA;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;4,94;18.09.2026, 21:30;5,97;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;92,73;92,83;18.09.2026, 21:30;0,30;18.09.2026, 21:30;NE;NE
FLO;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;15,67;18.09.2026, 21:30;17,57;18.09.2026, 21:30;10,83;9,54;18.09.2026, 21:30;5,76;3,68;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
LOB;18.09.2026, 21:30;16,69;18.09.2026, 21:30;3,47;254,73;18.09.2026, 21:30;66,55;18.09.2026, 21:30;10,67;18.09.2026, 21:30;10,55;18.09.2026, 21:30;9,13;9,24;18.09.2026, 21:30;5,07;4,40;18.09.2026, 21:30;36,95;45,92;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
STAD;18.09.2026, 21:30;NE;18.09.2026, 21:30;4,44;266,10;18.09.2026, 21:30;NE;18.09.2026, 21:30;16,32;18.09.2026, 21:30;16,66;18.09.2026, 21:30;12,22;9,13;18.09.2026, 21:30;7,15;4,46;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;-0,41;18.09.2026, 21:30;NE;NE
LIES;18.09.2026, 21:30;NE;18.09.2026, 21:30;8,49;277,21;18.09.2026, 21:30;NE;18.09.2026, 21:30;8,76;18.09.2026, 21:30;9,38;18.09.2026, 21:30;10,38;9,44;18.09.2026, 21:30;5,55;4,93;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
BC21;18.09.2026, 21:30;20,18;18.09.2026, 21:30;12,05;275,58;18.09.2026, 21:30;47,80;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;NE;18.09.2026, 21:30;NE;18.09.2026, 21:30;NE;NE
