JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT;
2025;DEZ.;1075;Reichsbrücke;B;8;Leopoldstadt;Kfz;45026;45358;44196;44702;49747;42500;45521;52125;Do,11.12.;
2025;DEZ.;1075;Reichsbrücke;B;8;Leopoldstadt;LkwÄ;4395;3994;4191;3976;3812;4228;5636;6068;So,28.12.;
2025;DEZ.;1075;Reichsbrücke;B;8;Donaustadt;Kfz;15218;16839;16168;16654;18536;14116;11218;18963;Do,18.12.;
2025;DEZ.;1075;Reichsbrücke;B;8;Donaustadt;LkwÄ;249;313;283;320;324;172;111;398;Do,04.12.;
2025;DEZ.;1075;Reichsbrücke;B;8;Gesamt;Kfz;60244;62197;60363;61356;68282;56616;56739;70404;Do,11.12.;
2025;DEZ.;1075;Reichsbrücke;B;8;Gesamt;LkwÄ;4645;4308;4474;4296;4137;4401;5746;6172;So,28.12.;
2025;DEZ.;1078;Westbahnhof;B;221;Wienzeile;Kfz;34899;35710;34486;35316;39053;37252;31236;39716;Fr,12.12.;
2025;DEZ.;1078;Westbahnhof;B;221;Wienzeile;LkwÄ;637;825;805;830;828;397;237;1027;Do,11.12.;
2025;DEZ.;1078;Westbahnhof;B;221;Stadthalle;Kfz;30707;31113;30252;30656;34240;32847;28323;34740;Sa,06.12.;
2025;DEZ.;1078;Westbahnhof;B;221;Stadthalle;LkwÄ;652;834;798;833;886;424;261;1005;Do,04.12.;
2025;DEZ.;1078;Westbahnhof;B;221;Gesamt;Kfz;65606;66823;64737;65972;73294;70099;59559;74421;Fr,12.12.;
2025;DEZ.;1078;Westbahnhof;B;221;Gesamt;LkwÄ;1288;1658;1603;1663;1714;821;498;2018;Do,11.12.;
2025;DEZ.;1089;Floridsdorf-Br.;B;226;Brigittenau;Kfz;13618;15435;14128;15500;16895;12214;9230;18759;Do,18.12.;
2025;DEZ.;1089;Floridsdorf-Br.;B;226;Brigittenau;LkwÄ;261;357;342;366;338;120;66;478;Do,11.12.;
2025;DEZ.;1089;Floridsdorf-Br.;B;226;Floridsdorf;Kfz;12102;13482;12773;13467;14491;11156;8700;16202;Do,04.12.;
2025;DEZ.;1089;Floridsdorf-Br.;B;226;Floridsdorf;LkwÄ;240;325;322;329;308;125;63;470;Do,04.12.;
2025;DEZ.;1089;Floridsdorf-Br.;B;226;Gesamt;Kfz;25720;28917;26901;28967;31386;23370;17930;33426;Mi,17.12.;
2025;DEZ.;1089;Floridsdorf-Br.;B;226;Gesamt;LkwÄ;500;682;664;695;646;244;129;942;Do,04.12.;
2025;DEZ.;1096;Brigittenauer Brücke;B;14;Brigittenau;Kfz;11245;12520;11775;12598;13176;9356;8682;14437;*Di,09.12.;
2025;DEZ.;1096;Brigittenauer Brücke;B;14;Brigittenau;LkwÄ;191;272;257;280;253;67;31;373;*Di,09.12.;
2025;DEZ.;1096;Brigittenauer Brücke;B;14;Floridsdorf;Kfz;9637;10880;10218;10796;12129;8834;6545;12546;*Do,04.12.;
2025;DEZ.;1096;Brigittenauer Brücke;B;14;Floridsdorf;LkwÄ;238;305;289;307;316;160;92;434;*Do,04.12.;
2025;DEZ.;1096;Brigittenauer Brücke;B;14;Gesamt;Kfz;20882;23400;21992;23394;25305;18190;15227;26071;*Do,04.12.;
2025;DEZ.;1096;Brigittenauer Brücke;B;14;Gesamt;LkwÄ;429;577;546;588;569;227;124;741;*Do,04.12.;
2025;DEZ.;1131;Karlsplatz;B;1;Heumarkt;Kfz;19080;20680;19577;20419;23280;18599;14783;23612;Fr,19.12.;
2025;DEZ.;1131;Karlsplatz;B;1;Heumarkt;LkwÄ;498;586;531;589;648;478;260;753;Fr,12.12.;
2025;DEZ.;1131;Karlsplatz;B;1;Wienzeile;Kfz;13703;15464;14617;15293;17335;12809;9180;17943;Do,18.12.;
2025;DEZ.;1131;Karlsplatz;B;1;Wienzeile;LkwÄ;489;563;531;563;606;538;250;756;Sa,13.12.;
2025;DEZ.;1131;Karlsplatz;B;1;Gesamt;Kfz;32783;36144;34194;35713;40615;31408;23963;41268;Do,18.12.;
2025;DEZ.;1131;Karlsplatz;B;1;Gesamt;LkwÄ;988;1149;1062;1151;1254;1017;510;1480;Fr,12.12.;
2025;DEZ.;1170;Donaukanal Straße;B;227;1171-Obere Donaustr.;Kfz;23938;25271;24146;24991;27987;24656;19718;29058;Fr,12.12.;
2025;DEZ.;1170;Donaukanal Straße;B;227;1171-Obere Donaustr.;LkwÄ;615;753;707;757;799;478;299;1013;Do,04.12.;
2025;DEZ.;1170;Donaukanal Straße;B;227;1172-Franz-Josef-Kai;Kfz;37084;39447;38105;38681;44556;36724;30541;45250;Fr,12.12.;
2025;DEZ.;1170;Donaukanal Straße;B;227;1172-Franz-Josef-Kai;LkwÄ;1521;1900;1747;1904;2086;1126;663;2282;Di,16.12.;
2025;DEZ.;1170;Donaukanal Straße;B;227;Gesamt;Kfz;61022;64718;62250;63671;72543;61381;50258;74308;Fr,12.12.;
2025;DEZ.;1170;Donaukanal Straße;B;227;Gesamt;LkwÄ;2136;2654;2454;2661;2885;1604;962;3190;Do,04.12.;
2025;DEZ.;1177;Handelskai;B;14;Klosterneuburg;Kfz;9382;10278;10213;10109;11094;9052;7013;11385;Fr,05.12.;
2025;DEZ.;1177;Handelskai;B;14;Klosterneuburg;LkwÄ;378;511;493;514;520;205;99;669;Do,11.12.;
2025;DEZ.;1177;Handelskai;B;14;Freudenau;Kfz;12312;14288;13378;14130;16184;10311;7811;17017;Mi,17.12.;
2025;DEZ.;1177;Handelskai;B;14;Freudenau;LkwÄ;495;685;616;686;772;246;93;962;Mi,17.12.;
2025;DEZ.;1177;Handelskai;B;14;Gesamt;Kfz;21694;24566;23591;24239;27278;19364;14823;28276;Mi,17.12.;
2025;DEZ.;1177;Handelskai;B;14;Gesamt;LkwÄ;873;1196;1109;1200;1292;450;192;1629;Mi,17.12.;
2025;DEZ.;1179;Brunner Straße;B;12;Zentrum;Kfz;12187;14240;14215;13925;15635;10870;7076;16460;Do,11.12.;
2025;DEZ.;1179;Brunner Straße;B;12;Zentrum;LkwÄ;842;1175;1103;1174;1275;342;177;1604;Do,11.12.;
2025;DEZ.;1179;Brunner Straße;B;12;Brunn am Gebirge;Kfz;16082;18105;18164;17741;19603;15026;10905;20024;Fr,12.12.;
2025;DEZ.;1179;Brunner Straße;B;12;Brunn am Gebirge;LkwÄ;979;1345;1298;1345;1408;438;241;1730;Di,16.12.;
2025;DEZ.;1179;Brunner Straße;B;12;Gesamt;Kfz;28269;32345;32379;31667;35238;25896;17982;36388;Do,11.12.;
2025;DEZ.;1179;Brunner Straße;B;12;Gesamt;LkwÄ;1821;2520;2400;2519;2683;780;418;3287;Do,11.12.;
2025;DEZ.;1180;Hochstraße;B;13;Zentrum;Kfz;4982;5636;5294;5607;6214;4389;3452;7268;*Mi,03.12.;
2025;DEZ.;1180;Hochstraße;B;13;Zentrum;LkwÄ;185;236;238;236;238;101;86;319;*Mi,03.12.;
2025;DEZ.;1180;Hochstraße;B;13;Perchtoldsdorf;Kfz;5221;5903;5618;5821;6638;4650;3599;6802;Fr,19.12.;
2025;DEZ.;1180;Hochstraße;B;13;Perchtoldsdorf;LkwÄ;208;266;264;268;259;118;95;334;Mi,10.12.;
2025;DEZ.;1180;Hochstraße;B;13;Gesamt;Kfz;10203;11539;10912;11428;12852;9039;7050;13462;*Mi,03.12.;
2025;DEZ.;1180;Hochstraße;B;13;Gesamt;LkwÄ;393;502;502;504;497;219;181;652;*Mi,03.12.;
2025;DEZ.;1181;Breitenfurter Straße;B;13;Zentrum;Kfz;5918;6508;6380;6400;7144;5645;4391;7314;Fr,19.12.;
2025;DEZ.;1181;Breitenfurter Straße;B;13;Zentrum;LkwÄ;168;212;210;208;234;107;76;252;Do,18.12.;
2025;DEZ.;1181;Breitenfurter Straße;B;13;Breitenfurt;Kfz;5740;6389;6272;6302;6924;5259;4160;7019;Fr,19.12.;
2025;DEZ.;1181;Breitenfurter Straße;B;13;Breitenfurt;LkwÄ;167;214;214;209;233;96;75;272;Di,09.12.;
2025;DEZ.;1181;Breitenfurter Straße;B;13;Gesamt;Kfz;11658;12897;12652;12702;14068;10904;8551;14333;Fr,19.12.;
2025;DEZ.;1181;Breitenfurter Straße;B;13;Gesamt;LkwÄ;335;426;424;417;467;203;152;523;Di,09.12.;
2025;DEZ.;1182;Simmeringer Hptstr.;B;225;Zentrum;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1182;Simmeringer Hptstr.;B;225;Zentrum;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1182;Simmeringer Hptstr.;B;225;Schwechat;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1182;Simmeringer Hptstr.;B;225;Schwechat;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1182;Simmeringer Hptstr.;B;225;Gesamt;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
