svznr,zstart,klasse,nummer,gpsx1,gpsy1,RI,RII,DTV2024,DTVSV
62221200,TM,L,508,9.474958,49.74257899999997,Einmündung K2830 in L 508 bei Sonderriet,Einm. K 2829 in L 508 in Vockenrot,6626,253
62221201,TM,K,2879,9.398688000000002,49.75828699999997,Einm. K2879 in L2310 bei Wessental,Einm. K 2879 in L 507 bei Nassig,1613,37
62221203,TM,L,2310,9.508385000000004,49.772387000000016,Einm. K2879 in L2310 bei Wessental,Einm. L 508 in L 2310 bei Wertheim,3729,261
62221400,TM,K,2830,9.432433999999995,49.72114300000002,Einmündung K 2830 in L 507,Einmündung K2830 in L 508 bei Sonderriet,646,10
62221401,TM,K,2831,9.388128000000004,49.735092,Landesgrenze Bayern/ K 2831,"Einm. K 2831 in K 2879 \""Sägmühle\""",653,17
62231001,MZ,A,3,9.571826000000003,49.78343199999996,AS Marktheidenfeld (65),AS Wertheim/Lengfurt (66),67979,13408
62231002,MZ,A,3,9.581860999999996,49.770278000000026,AS Wertheim/Lengfurt (66),AS Helmstadt (67),64518,13631
62231200,TM,L,506,9.527259999999997,49.74374799999997,Abzweigung K2827 von L 506,Einm. L 509 in L 506 Bronnbach,2004,57
62231201,TM,K,2879,9.510143971769068,49.72978215266115,Einm. K 2879 in L 508 bei Ödengesäß,Einm. K2879 in L506 bei Reicholzheim,753,4
62231202,TM,K,2878,9.582466967228015,49.74964637350015,Einm. K2878 in L 2310 bei Urphar,Landesgrenze Bayern / K 2878,4254,204
62231203,TM,L,617,9.572476089731586,49.780338983349786,Einm. L 617 in L2310 bei Bettingen,Landesgrenze Bayern L 617,2876,207
62231204,TM,L,2310,9.471688999999996,49.774921999999954,Einm. K2879 in L2310 bei Wessental,Einm. L 508 in L 2310 bei Wertheim,4586,320
62231205,TM,L,2310,9.550418000000006,49.75580500000002,Einm. L 506 in L 2310 in Wertheim,Einm. K2878 in L 2310 bei Urphar,8094,401
62231206,TM,L,2310,9.610816000000003,49.76743199999997,Einm. K2878 in L 2310 bei Urphar,Landesgrenze Bayern L2310,2107,67
62231207,TM,L,508,9.495394,49.75128499999997,Einm. K 2829 in L 508 in Vockenrot,Einm. L 508 in L 2310 bei Wertheim,8854,339
62231209,TM,L,506,9.516638000000006,49.74386099999997,Einm. L 506 in L 2310 in Wertheim,Abzweigung K2827 von L 506,2935,66
62231214,MZ,L,2310,9.512826999999996,49.763908,Einm. L 508 in L 2310 bei Wertheim,Einm. L 506 in L 2310 in Wertheim,11865,608
62231215,TM,L,508,9.508265000000003,49.769958,Einm. L 508 in L 2310 bei Wertheim,Landesgrenze Bayern L 508 bei Wertheim,12567,451
62231400,TM,K,2822,9.615339999999994,49.71934200000003,L506/K2822 Bronnbach,Landesgrenze Bayern / K2822,631,18
62231401,TM,K,2824,9.594905882027684,49.74011604241159,Landesgrenze Bayern/K 2848,Einm. K 2824 in K2878 vor Urphar,2833,192
63171001,MZ,A,5,8.62490599999991,49.61629400001199,LG (HE/BW),AS Hemsbach (32),71131,8794
63171100,TM,B,3,8.650331000000007,49.617830000000026,B 3 / K 4129 Laudenbach,B3 Landesgrenze Hessen,6066,113
63211100,TM,B,47,9.28676957779115,49.62683848422414,B 47/ K 3968 Rippberg,B 47/ Landesgrenze Bayern (Schneeberg),4199,480
63211200,TM,L,518,9.327047000000002,49.623455000000014,"B 47/ L 518 Walldürn, Abzw. Gerolzahn",L 518/ Landesgrenze Bayern (Geisenhof),839,37
