operator_name,domain_name,domain_id,counter_site,counter_site_id,counter_serial,longitude,latitude,timezone,iso_timestamp,channels_in,channels_out,channels_unknown,channels_all,site_temperature,site_rain_accumulation,site_snow_accumulation
Eco Counter GmbH,Stadt Ludwigsburg,6011,Hohenzollernstraße Stadtauswärts,300036572,Y2H23081053,9.19063,48.88377,(UTC+01:00) Europe/Paris DST,2026-09-17T00:00:00+02:00,18,367,na,385,na,na,na
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-11T00:00:00+02:00,11,9,na,20,15.0,0.0,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-12T00:00:00+02:00,29,17,na,46,16.5,0.0,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-13T00:00:00+02:00,21,14,na,35,17.5,8.1,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-14T00:00:00+02:00,17,5,na,22,17.5,0.5,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-15T00:00:00+02:00,20,16,na,36,19.5,0.0,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-16T00:00:00+02:00,5,2,na,7,17.5,3.1,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Schöllhütte - Ebni (L 1120),300038186,ZLT26023114,9.584773,48.92376,(UTC+01:00) Europe/Paris DST,2026-09-17T00:00:00+02:00,10,10,na,20,na,na,na
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Berglen - Erlenhof (K 1915),300038205,ZLT26023116,9.458814114332199,48.85560168784329,(UTC+01:00) Europe/Paris DST,2026-09-11T00:00:00+02:00,114,127,na,241,16.0,0.0,0.0
Eco Counter GmbH,Landratsamt Rems-Murr-Kreis,7959,Berglen - Erlenhof (K 1915),300038205,ZLT26023116,9.458814114332199,48.85560168784329,(UTC+01:00) Europe/Paris DST,2026-09-12T00:00:00+02:00,152,144,na,296,17.0,0.0,0.0
