svznr,zstart,klasse,nummer,gpsx1,gpsy1,RI,RII,DTV2024,DTVSV
70191100,TM,B,10,8.992182999999997,48.91870000001104,B 10/K 1648 bei Vaihingen an der Enz (2),B 10/L 1138 bei Hardt- und Schönbühlhof,24088,1996
70191108,DZ,B,10,8.949258000000002,48.92760199999999,B 10/L 1125 bei Vaihingen an der Enz,B 10/K 1648 bei Vaihingen an der Enz (2),13341,1880
70191109,TM,B,10,8.934813000000002,48.94546699999997,B10/B35 Illinger Eck,B 10/L 1125 bei Vaihingen an der Enz,13398,1485
70191201,TM,L,1125,8.946324537617702,48.93007985509535,L1125/K4502 Grossglattbach,B 10/L 1125/K 1696 bei Vaihingen an der Enz,6232,180
70191217,TM,K,1696,8.954517999999995,48.92945600001103,B 10/L 1125/K 1696 bei Vaihingen an der Enz,L 1125/K 1696 Vaihingen-Kleinglattbach,5781,114
70191218,TM,K,1696,8.972894948034348,48.94647141590789,K 1648/K 1696 Vaihingen a.d.E.,L 1125/K 1696 Vaihingen-Kleinglattbach,9104,488
70201001,DZ,A,81,9.154316000000003,48.90246499999999,AS Ludwigsburg-Nord (15),AS Ludwigsburg-Süd (16),135561,12593
70201100,MZ,B,27,9.160102000000034,48.91761600001104,B 27/L 1138 Ludwigsburg (Mäurach),AS Ludwigsburg-Nord A81/B27 (015),37671,1058
70201101,MZ,B,27,9.153629000000032,48.92431500001107,AS Ludwigsburg-Nord A81/B27 (015),B 27/L 1130/K 1600 Bietigheim-Bissingen,35695,1649
70201201,TM,L,1110,9.115360186281755,48.93319234843719,"L 1110/L 1133 Tamm, Kreisverkehr","K 1678/L 1110 Bietigheim-Bissingen, Kreisverkehr",15751,683
70201208,MZ,L,1110,9.100647000000023,48.949575000011066,L 1110 Bietigheim-Bissingen (Beginn Seitenarm),"L 1110/K 1684 Bietigheim-Untermberg, Kreisverkehr",10000,285
70201209,TM,K,1685,9.001312079438767,48.92199930882168,B 10 /K 1685 bei Enzweihingen,L 1141/K 1685 Unterriexingen,8048,316
70201210,TM,K,1683,9.023880361309375,48.93263080214329,"K 1683/L 1125 bei Sersheim, Kreisverkehr",K 1683/K 1685 bei Oberriexingen,3213,78
70201211,TM,L,1133,9.144258000000006,48.92269499999996,"L 1110/L 1133 Tamm, Kreisverkehr",L 1133/B 27 Breuningerland,13956,368
70201212,TM,K,1671,9.104673756257586,48.91287845946352,L1138/K1676 Markgröningen,B 27/K 1671 bei Bietigheim-Bissingen,8019,340
70201213,TM,L,1138,9.157123999999996,48.90462599999999,L 1110/L 1138 Asperg,B 27/L 1138 Ludwigsburg,9778,269
70201214,TM,L,1138,9.115391000000006,48.90614200000001,"L 1138/K 1705 Markgröningen, Kreisverkehr","L 1138/K 1693 Asperg, Kreisverkehr",8002,268
70201215,TM,L,1138,9.045043613239322,48.901377654504586,B 10/L 1138 bei Hardt- und Schönbühlhof,L 1138/L 1141/K 1660 Markgröningen,4188,304
